key,data,enc
ad7d6e9392ce5eabaa8179dac60ea4a990adbd200b5035401cfe263e7b563a17,24e3e3e02a542a984dc1bb38e7a0f0e8,b0a4a8772e3df494830e02a863010d8f
f8597128de41cb60f0803110cbefda1e622c15f83c560aa79f6282542fd91a0c,ac75b452a95dc747cd80f94abef19b100e13004634bf99ced4d28ff60e3bc5f3,cbe3b8f03206cbd4ecfff8cdbd86db07a7398d394788a6c4a31396c2e23163a6
e83599e6a6c8d3d27867e67a2210e2f81634cf531f8f2c3da80068bb1fc9a025,76b7043602ae29beee11c785f3f96940036b3f76e862c02023a305bc3d7ffd8887e9c8be3badd120afd9c65dd61d8f2d,ded097a731526649254b1d8cdf174f852e7d670898d6ddc66d64a4e5bf7d2713fcc35c937cad243b10e661faa46337ba
d895dcb1dc967af8c7692d8cffbcb33ad21b964efce6567fffee6f7305b0d3f2,bc9d2c1659d1acb9866d89d834c6956e82adddf2a6155b42437b24567e54dce93339ae86e561da46a0829c129c3e0cfddfe514bf2aea99a79350ddec97e1d7f9,d29c5a83e72b5e6fb76632c8266a01a81240dc271819e5b488336531b3da5759af53c4442160ee818daf89aa57609e30ca31db5970dca398a1ce65377917ca1e
f8a6740bb8d212f4db114cd041c8accdda73a382e254620b7acb7b6ef1556fa7,17b3484db42c0180abe04597f0d9d8eac0a510b196277da6381a0865b0497c195646e1284a0f36718bf53759d767d409845909e0a36868e638ab73829fea1bc70f561b2110d1089d01ca44fffa308922,ecf2659c5ea95714afc44e469cc482eac632dab6fc6bd956a207022096cf4c73758202f82fbeafa42c9c9e5163be340b1ce8e33efc844c0b912473e62f283a2e606678979449d636705414cf1f80e08a
9cb423314d7b5b9ac5994c8f8675fbb412ec10379810d562d65e07f9036f2ed5,f7eea37af5c1fa4714a646f29b49f226a6506d619416270f1ebffee2c9f6c9b2952b4ee7b2817ba084dd4f9e764b7d3c213afbb73be5fa8e2b333f736d55fda1104220a55ca6c079f0e25d606631f96ae623815e740211bdf39bbe482fedc2ad,4b7121f11a523324fb89076e236f239617c3b57a0da35fa601b1545eac980cccf43b6d5613ab76c25424fef6515b754ce75000f16dd679e45ecf5dfade7dccdcaf7a22372962590ebf9bd0587cd774267a5ca5f1992bbd4d23e5be609e671732
905aebc5e1da2ae28005c47fb705e9b59be6523555a38c254b6992a173973030,ba4b90fbef89a216e98a12753c0c6a8c204f8ccc5215ec89edff75498e7694d3b880f98f80dd7c2ce216c021201175e96344e428a016195213694cfe317c2e2b2f2f725a08070f66a2086c96f326f0b417ba9764bb45b19fd8a59374037ba25236d2bc20f94696aba1d7c43a91f61eb1,3fc550d5aa2570fd5bf4fcd3bdbc7cf27beab18e00da9151eebd2282132d924c72026824f7accf2523e16cfdb99f455ad21f9200819f4774d38b7b979f46ece02a2f0e2311d52535d54cdd6471e467c0fd8bac0e61c2f3a17767bd0689b80c6f5b125f7f1dbdec31e85ce8fa89ece63d
e0adebe1a0c858b40408109e6c25b414af5649921fa58fec6d2910e1b7c05f7e,f9080e82116ecb97d5ab13d22edf8fd45865c17ceeef35cb9ac9c95ea0bd4d80b7e535903e8e5c3217a410ab52f2ba843246412d2ba15393dd1b02e09a98d5def7d40f3335d8f64358dade9c3ae2c66fc7698ca4c07ba58985588b55363cf0eaa6b78556c7c17c6f4adcd64f11cae040604dcab0632557730e6cb0fd2b72d504,b0b685de2de98a88260cbcfbe8735e10edda991555aa5335273ca1d5ff2b93de7719aef22e68b81603739c8aaf38df588f065343fecf304b62131a2d81196bca5bb85cc7226907553b1abb8835445859687120c977ed1e42040aa181643e9bb54e6d5a8fe87436e0f38bc6165af2c6924003550c8f96750f9d50c6025c02644c
380ebd91476db0f9b57b1c05b4ae5b4aa09318493d3949987763a7b9918aea69,09ef3b20467d7dfaf60e98c747dfc4f7d81d1ce617ec42f17d7ad9d7b1c2bb394beed5ce614f939b9336bd113d7af668a85f9060b7cf7ff8bccdd02036eb572c1c978d3f131f41c2bd986e410c398e5584aea4ffc2d9dd78fefba8c0ac9515973d1a957b3d9a2482c3702539fd203b026cbba35ee9580d90a645c6682bf2e55ffb4065a5e0ad9fefb000e6208bc24433,d5408f8f6c1d2308c79cd4427d4480729a9fa7781385af2992c44417fa425fe41d64e59c11c0db726a60d347182fa4ad12bbe546b13c97205baaf9b24126745056896907ec90c1020bd3e23ac19dabc2529a1542c23c7e9ef8ccdd426fed63d194ed497cf33e383670e8b851df6553d8983188bf4e2cd3237fd012868a0df18106407c044bfb9532e92c54f88a2cb776
c5b5d2266c2957e9b29c9489804c0e46131936c7a5229537f3c1dff7ed706938,bbc70079da8af2424e30022d22f66965d36f170afe198b829b536a445528a1e4ab42c1febb5c2c694ed8f93b6298159d6c00da5a561e5ec0871b56eee04cf88cdef91aa40f15ea295eca3356fddc68f53abe366f63fbf3f7f3b5e06b15942ae372367f3edaa9d9125139e4c8a94d3f98713611cf3894517bcd6ee4c9ec57e3c1bf9eb91bc0731bbc4d4af7dc28b619dd56f040430c105a1f0436301a0f278444,7fe7cf3b66fefcb4ea33bd2897e7192e80ded1e30e8526e7fc6126d7b880211ea2e259dd49c86b858899dfa099dfc25472f10d64bf95c5da27044ffcbfd049c4fbb2a5e2d7e07779fcc642bd043a2e6cfa8093916dc784a64b8da18594a4c66a650f557bb752283b8c1b5c4bd81e8b5c68059ee173b08723e92ea99da48b6b0dee6c41be2e9cf1ef72aeb21c2a0294e4c538d53e99c3fcba34b63d05dc7ed064
c55d5fe2d8980152a2ebfe358fe22da3a32174dce528457c1f5217f4f3bc4a52,7308f926d7fa6ef51a01148d814207d07f4363b53dd4a8d27b30c181b59dd45ec2b822feb0067a6f55621d249121be052964371cfebc6175119527819a6d27b356ae55709ccecf237e35a6f37c833777862a3ba15a05cdf5658af4fc0b11bc4d39a1442cc9dcafcc7293e3d3e48d85c131af15c9d9fc0610130c7ee4a823ad91cef5765be22071e76bfa660218627cf09213302c1c79408f4358abb2522abd1beb2f925c95a7bc8525c61310a02c9e22,1831de0ef7f0029b2d27839683fec1a1b938609566f09d9f2b272236412fa2db30ef59574237767c7eb26c7922f7adaec8a241044f69dd5c9c80262e78bc33370fc83de28cc6fb735c9f819d1e5051c402799e5e85ec5395641f3c177c21afc2febb4c606ef56a1f0428ff16ca849e00a2b14998a9b91df8dbb71b8a89b4f3cf278d50e3c25084661c204d8473925fd7a94189881c00203fdefa1db012ebedb024d39c6db7fc6ae65dab4b626c3cc074
